num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
105	0	2.86998216	1.713885967	1.202496541	1.942192897	1.173227447	-0.625520749
106	0	2.788655934	1.658470652	1.205919455	1.945172952	1.075078087	-0.606410529
107	0	2.775612218	1.589508078	1.266707712	1.919361757	1.042959289	-0.558650846
108	0	2.743993861	1.571792526	1.27490373	1.940949158	1.010279709	-0.543444839
109	0	2.727007255	1.603986884	1.299158384	1.9167672	1.020364499	-0.520203448
110	0	2.68462564	1.623688801	1.323524577	1.91461389	1.029667709	-0.485690778
111	0	2.690338902	1.733050318	1.405733771	1.984214706	1.103575382	-0.459140861
112	0	2.615148074	1.812677904	1.455449209	2.081757409	1.168948146	-0.425306489
113	0	2.600058123	1.826676449	1.519324935	2.146727337	1.265415212	-0.386517238
114	0	2.628649126	1.80552179	1.507806724	2.233156728	1.314269652	-0.358505748
115	0	2.705872664	1.784460474	1.49597775	2.255733011	1.357474203	-0.329941087
116	0	2.725337154	1.69034577	1.426201946	2.228633306	1.366746642	-0.284858308
117	0	2.799953121	1.622437372	1.394652218	2.159184562	1.339178244	-0.272589612
118	0	2.815010092	1.637749998	1.356021052	2.057306938	1.267496394	-0.260265409
119	0	2.769172614	1.693222583	1.415585263	1.897427799	1.2047355	-0.262520108
120	0	2.658944279	1.762553974	1.441407471	1.775935639	1.126539718	-0.288706298
121	0	2.611298191	1.835880054	1.507847074	1.726155747	1.032531736	-0.310531798
122	0	2.505006622	1.884601999	1.505318698	1.724379472	0.9615975	-0.32319727
123	0	2.46022922	1.882905448	1.534657521	1.797684636	0.958496445	-0.323803315
124	0	2.529930112	1.845015825	1.516422725	1.912376428	0.953642141	-0.333847706
125	0	2.60203831	1.768958639	1.546746891	2.035864138	0.989457829	-0.336124455
126	0	2.65948428	1.7059131	1.527056855	2.066936285	1.055897265	-0.375507943
127	0	2.742842015	1.646125135	1.534402037	2.110283675	1.14353542	-0.397481587
128	0	2.806291667	1.610799034	1.532316601	2.108678633	1.165690326	-0.443772129
129	0	2.790436572	1.595388314	1.56234533	2.070941557	1.177556222	-0.484019245
130	0	2.790583469	1.57607459	1.54591008	1.99341575	1.163414585	-0.526642444
131	0	2.746462819	1.586363978	1.593979987	1.965605435	1.135111056	-0.544074308
132	0	2.698805744	1.651316859	1.671269124	1.897818897	1.072008726	-0.562739633
133	0	2.600940581	1.724296071	1.717351207	1.837194414	1.051532079	-0.569746738
134	0	2.550112596	1.798134723	1.705011728	1.810091444	1.075550209	-0.560690736
135	0	2.573242132	1.934629745	1.707233025	1.777984457	1.083905696	-0.519923067
136	0	2.650595388	2.074392325	1.717719556	1.766115349	1.112896215	-0.461276362
137	0	2.7640544	2.186707599	1.727174665	1.816891864	1.161396875	-0.417697594
138	0	2.915685896	2.26663327	1.766579375	1.895990866	1.202538955	-0.37774837
139	0	3.028845716	2.331454238	1.865295257	1.964392569	1.204887947	-0.341328506
140	0	3.063756665	2.331231352	1.980668376	2.005660719	1.218161089	-0.334634087
141	0	3.082848992	2.28806023	2.027053692	1.993734795	1.21277503	-0.357469143
142	0	3.04113125	2.209746549	2.022841496	1.912686655	1.181924534	-0.383549921
143	0	2.944827684	2.113971551	1.990129949	1.788404355	1.145559756	-0.419344811
144	0	2.829668385	2.001427028	1.910921016	1.645435447	1.153183826	-0.430391353
145	0	2.711566622	1.931020332	1.758399227	1.553438888	1.175553931	-0.422803969
146	0	2.589104924	1.89741664	1.617581835	1.551398211	1.187875486	-0.40638166
147	0	2.477241862	1.863124021	1.504870868	1.592386517	1.224463078	-0.384213734
148	0	2.471100909	1.872675194	1.39395827	1.651500079	1.240403998	-0.355798638
149	0	2.541184239	1.918990486	1.298515868	1.686027029	1.197399582	-0.380199942
150	0	2.635002084	1.95678543	1.322966125	1.804052118	1.143135291	-0.43405643
151	0	2.686628457	1.952542857	1.412153821	1.860320586	1.114089807	-0.490797084
152	0	2.814484411	1.986861429	1.502566491	1.970459576	1.075291147	-0.535925866
153	0	2.858844894	2.007515994	1.570573246	2.068817003	1.059132007	-0.587450468
154	0	2.916273386	2.002068596	1.659061918	2.209267007	1.08956574	-0.602561414
155	0	3.018686348	2.041663713	1.679424677	2.244866095	1.13070449	-0.584439545
156	0	3.160623692	2.105937554	1.651057315	2.336556757	1.176090378	-0.526525152
157	0	3.264788402	2.153313467	1.64127617	2.34895318	1.224159748	-0.496383161
158	0	3.379545957	2.218852252	1.694348363	2.381564104	1.281553699	-0.453088475
159	0	3.439654704	2.298393614	1.72831412	2.341498055	1.321045109	-0.408362936
160	0	3.427765132	2.324299703	1.785312498	2.29738354	1.328521811	-0.349688078
161	0	3.35597852	2.344883484	1.849108575	2.158625586	1.301994168	-0.31289968
162	0	3.203022206	2.376809997	1.888917556	2.060311802	1.264776568	-0.246585485
163	0	3.019677606	2.387442909	1.880634696	1.917846583	1.207528422	-0.174013833
164	0	2.785011833	2.387015963	1.870297752	1.848425764	1.164060269	-0.097417473
165	0	2.590772995	2.376323244	1.84049471	1.842632106	1.167203387	-0.052868038
166	0	2.461832405	2.340980762	1.795144187	1.915538861	1.215025933	-0.025928256
167	0	2.4702512	2.265851424	1.737100496	1.989010413	1.28630731	-0.025930992
168	0	2.522049284	2.184707909	1.709834866	2.057123936	1.349643176	-0.046282727
169	0	2.686706164	2.142972882	1.697879067	2.075809713	1.397430569	-0.099729184
170	0	2.806511262	2.134810057	1.712956869	2.075799198	1.416966915	-0.152086787
171	1	2.95039935	2.155445657	1.751586854	2.047692065	1.417344332	-0.209349226
172	1	3.084840046	2.281055527	1.831318885	1.992351044	1.400520036	-0.27748974
