num_scan	state	face	maze	prep_face	pre_maze	rest
1594	rest	0.00154343	4.02E-05	1.50E-05	4.12E-06	0.998397
1595	rest	0.000210205	3.49E-05	4.73E-05	2.64E-05	0.999681
1596	rest	4.93E-05	8.57E-05	0.000241307	2.04E-05	0.999603
1597	rest	0.000112654	4.55E-06	0.000137465	1.77E-05	0.999728
1598	rest	0.003047	8.11E-05	0.00073716	7.06E-05	0.996064
1599	rest	0.00913054	0.00131288	0.0134739	0.000730198	0.975353
1600	rest	0.0353268	0.00492562	0.013622	0.0120947	0.934031
1601	rest	0.0795603	0.0284032	0.00615985	0.00260177	0.883275
1602	rest	0.146939	0.0582022	0.005199	0.042052	0.747608
1603	rest	0.327641	0.166141	0.0536997	0.00373478	0.448783
1604	rest	0.372827	0.156438	0.0598345	0.00306142	0.40784
1605	rest	0.451121	0.155039	0.00114982	0.00082057	0.391869
1606	rest	0.442119	0.156765	0.000431876	0.0084694	0.392215
1607	rest	0.414809	0.157224	0.000172035	0.000365815	0.42743
1608	rest	0.264366	0.120473	0.000211586	4.74E-05	0.614902
1609	rest	0.219756	0.0961017	0.000169046	2.49E-05	0.683949
1610	rest	0.133393	0.0360503	0.000127105	2.40E-05	0.830406
1611	rest	0.0671623	0.0172709	0.000226198	6.98E-05	0.915271
1612	rest	0.0244792	0.00178015	2.47E-05	4.01E-05	0.973676
1613	rest	0.012157	0.000163819	1.14E-05	1.22E-05	0.987656
1614	rest	0.00246184	2.43E-05	6.07E-06	4.35E-06	0.997503
1615	rest	0.000409807	2.80E-05	3.84E-05	4.20E-06	0.99952
1616	rest	0.000183822	9.41E-05	1.93E-05	6.97E-05	0.999633
1617	rest	9.32E-05	2.42E-05	2.39E-05	1.26E-05	0.999846
1618	rest	0.000383371	9.09E-05	0.000484892	4.34E-05	0.998997
1619	rest	0.00104823	5.27E-05	2.25E-05	4.95E-06	0.998872
1620	rest	0.000201627	2.97E-05	1.12E-05	4.18E-05	0.999716
1621	rest	0.000229084	0.000341998	0.000139897	0.000146958	0.999142
1622	rest	0.00038223	0.00122372	9.58E-05	0.000698538	0.9976
1623	rest	0.000407134	0.003386	0.000248167	0.000278903	0.99568
1624	rest	0.000756774	0.00729923	0.000557756	0.000267434	0.991119
1625	rest	0.00209966	0.0087417	0.000352707	0.000459604	0.988346
1626	rest	0.00307865	0.007374	0.000356363	0.00077617	0.988415
1627	rest	0.00179225	0.00487728	0.000374244	0.000212723	0.992744
1628	rest	0.000449958	0.00155628	9.76E-05	3.60E-05	0.99786
1629	rest	5.64E-05	0.000333538	5.65E-05	1.25E-05	0.999541
1630	rest	7.86E-05	0.000873208	0.000499931	0.000621577	0.997927
1631	rest	0.000342935	0.0045552	0.00171556	0.000407864	0.992978
1632	rest	0.00103471	0.00723696	0.000659884	0.000436198	0.990632
